actor,movie,revenue
Carrie Fisher,Star Wars,2789.71 million
Carrie Fisher,The Star Wars Holiday Special,43.96 million
Mark Hamill,Star Wars,2789.71 million
Mark Hamill,The Star Wars Holiday Special,43.96 million
Richard Dreyfuss,Close Encounters of the Third Kind,1092.96 million
Richard Dreyfuss,The Goodbye Girl,366.97 million
Richard Dreyfuss,Jaws,1907.01 million
Richard Dreyfuss,American Graffiti,564.78 million
Marlon Brando,The Godfather,1277.91 million
Marlon Brando,Apocalypse Now,250.79 million
Marlon Brando,The Missouri Breaks,43.96 million
Marlon Brando,Superman,1003.54 million
Max von Sydow,Exorcist II: The Heretic,110.63 million
Max von Sydow,Three Days of the Condor,111.33 million
Max von Sydow,The Ultimate Warrior,43.96 million
Max von Sydow,The Exorcist,2167.32 million
Carl Weathers,Rocky II,601.46 million
Carl Weathers,Rocky,449.21 million
John Travolta,Saturday Night Fever,853.08 million
John Travolta,The Boy in the Plastic Bubble,43.96 million
John Travolta,Grease,607.75 million
Harrison Ford,Star Wars,2789.71 million
Harrison Ford,The Frisco Kid,43.96 million
Harrison Ford,Hanover Street,43.96 million
Harrison Ford,The Conversation,19.55 million
Harrison Ford,The Star Wars Holiday Special,43.96 million
Harrison Ford,Force 10 from Navarone,24.17 million
Barry Bostwick,The Rocky Horror Picture Show,457.42 million
Tim Curry,The Rocky Horror Picture Show,457.42 million
Danny DeVito,One Flew Over the Cuckoo's Nest,441.57 million
Jane Seymour,Sinbad and the Eye of the Tiger,57.56 million
Jane Seymour,Live and Let Die,794.52 million
George Takei,Star Trek: The Motion Picture,417.63 million
James Caan,A Bridge Too Far,182.59 million
James Caan,The Godfather,1277.91 million
James Caan,Rollerball,121.55 million
James Caan,Brian's Song,43.96 million
Paul Newman,Slap Shot,100.74 million
Paul Newman,The Life and Times of Judge Roy Bean,43.96 million
Paul Newman,The Towering Inferno,512.98 million
Paul Newman,The Sting,783.90 million
Sigourney Weaver,Alien,315.27 million
Mel Gibson,Mad Max,300.46 million
Robert Duvall,The Godfather,1277.91 million
Robert Duvall,Joe Kidd,33.01 million
Robert Duvall,Apocalypse Now,250.79 million
Robert Duvall,The Godfather: Part II,210.25 million
Robert Duvall,THX 1138,13.12 million
Robert Duvall,Network,90.77 million
Robert Duvall,The Eagle Has Landed,43.96 million
Robert Duvall,MASH,458.30 million
Barbra Streisand,"What's Up, Doc?",43.96 million
Barbra Streisand,A Star Is Born,616.90 million
Barbra Streisand,The Way We Were,221.00 million
Al Pacino,The Godfather,1277.91 million
Al Pacino,...And Justice for All,100.05 million
Al Pacino,The Godfather: Part II,210.25 million
Al Pacino,Dog Day Afternoon,189.08 million
Al Pacino,The Panic in Needle Park,43.96 million
Al Pacino,Serpico,146.35 million
Al Pacino,Scarecrow,43.96 million
