actor,movie,revenue
Mark Hamill,The Empire Strikes Back,1424.63 million
Mark Hamill,The Big Red One,19.07 million
Mark Hamill,Return of the Jedi,1253.82 million
Steven Berkoff,Rambo: First Blood Part II,608.96 million
Harrison Ford,Witness,139.28 million
Harrison Ford,The Empire Strikes Back,1424.63 million
Harrison Ford,Indiana Jones and the Temple of Doom,698.98 million
Harrison Ford,Return of the Jedi,1253.82 million
Harrison Ford,Raiders of the Lost Ark,935.12 million
Harrison Ford,Blade Runner,74.05 million
Harrison Ford,Indiana Jones and the Last Crusade,834.06 million
Harrison Ford,Working Girl,190.24 million
Harrison Ford,Frantic,32.52 million
Harrison Ford,The Mosquito Coast,28.45 million
Carrie Fisher,The Man with One Red Shoe,43.96 million
Carrie Fisher,The Empire Strikes Back,1424.63 million
Carrie Fisher,Return of the Jedi,1253.82 million
Carrie Fisher,When Harry Met Sally...,163.28 million
Carrie Fisher,The 'Burbs,64.38 million
Carrie Fisher,Loverboy,6.97 million
Carrie Fisher,Hannah and Her Sisters,79.74 million
Ronny Cox,Vision Quest,43.96 million
Ronny Cox,Beverly Hills Cop,664.05 million
Ronny Cox,Taps,85.99 million
Ronny Cox,RoboCop,101.71 million
Ronny Cox,Beverly Hills Cop II,575.66 million
Dustin Hoffman,Death of a Salesman,43.96 million
Dustin Hoffman,Tootsie,400.41 million
Dustin Hoffman,Family Business,21.45 million
Dustin Hoffman,Rain Man,654.26 million
Christopher Lloyd,Back to the Future,772.57 million
Christopher Lloyd,Clue: The Movie,29.69 million
Christopher Lloyd,The Adventures of Buckaroo Banzai Across the 8th Dimension,43.96 million
Christopher Lloyd,To Be or Not to Be,28.53 million
Christopher Lloyd,Back to the Future Part II,583.98 million
Christopher Lloyd,The Dream Team,43.96 million
Christopher Lloyd,Who Framed Roger Rabbit,608.12 million
Christopher Lloyd,Eight Men Out,43.96 million
Sigourney Weaver,Ghostbusters,619.66 million
Sigourney Weaver,The Year of Living Dangerously,23.23 million
Sigourney Weaver,Ghostbusters II,378.88 million
Sigourney Weaver,Working Girl,190.24 million
Sigourney Weaver,Gorillas in the Mist,43.96 million
Sigourney Weaver,Aliens,260.73 million
Bill Murray,Caddyshack,105.43 million
Bill Murray,Where the Buffalo Roam,17.62 million
Bill Murray,Ghostbusters,619.66 million
Bill Murray,Stripes,204.57 million
Bill Murray,Ghostbusters II,378.88 million
Bill Murray,Scrooged,111.24 million
Carl Weathers,Rocky IV,609.11 million
Carl Weathers,Death Hunt,43.96 million
Carl Weathers,Rocky III,280.20 million
Carl Weathers,Action Jackson,37.35 million
Carl Weathers,Predator,188.52 million
Sylvester Stallone,Rambo: First Blood Part II,608.96 million
Sylvester Stallone,Rocky IV,609.11 million
Sylvester Stallone,Rhinestone,43.96 million
Sylvester Stallone,Victory,43.96 million
Sylvester Stallone,Nighthawks,47.74 million
Sylvester Stallone,First Blood,282.94 million
Sylvester Stallone,Rocky III,280.20 million
Sylvester Stallone,Tango & Cash,111.53 million
Sylvester Stallone,Lock Up,43.96 million
Sylvester Stallone,Rambo III,348.52 million
Sylvester Stallone,Over the Top,30.82 million
Sylvester Stallone,Cobra,97.56 million
William Shatner,Star Trek III: The Search for Spock,182.62 million
William Shatner,Star Trek II: The Wrath of Khan,218.73 million
William Shatner,Star Trek V: The Final Frontier,123.48 million
William Shatner,Star Trek IV: The Voyage Home,264.59 million
George Takei,Star Trek III: The Search for Spock,182.62 million
George Takei,Star Trek II: The Wrath of Khan,218.73 million
George Takei,Star Trek V: The Final Frontier,123.48 million
George Takei,Star Trek IV: The Voyage Home,264.59 million
Sean Connery,Never Say Never Again,350.29 million
Sean Connery,Time Bandits,101.60 million
Sean Connery,Outland,41.67 million
Sean Connery,Indiana Jones and the Last Crusade,834.06 million
Sean Connery,Family Business,21.45 million
Sean Connery,The Presidio,37.48 million
Sean Connery,The Untouchables,146.37 million
Sean Connery,Highlander,11.74 million
Sean Connery,The Name of the Rose,153.58 million
Ted Danson,Creepshow,47.52 million
Ted Danson,Three Men and a Baby,322.41 million
Candice Bergen,Gandhi,175.66 million
Dan Aykroyd,Spies Like Us,43.96 million
Dan Aykroyd,Into the Night,13.58 million
Dan Aykroyd,The Blues Brothers,304.90 million
Dan Aykroyd,Ghostbusters,619.66 million
Dan Aykroyd,Trading Places,197.91 million
Dan Aykroyd,Twilight Zone: The Movie,64.48 million
Dan Aykroyd,Neighbors,71.74 million
Dan Aykroyd,Ghostbusters II,378.88 million
Dan Aykroyd,Driving Miss Daisy,256.45 million
Dan Aykroyd,My Stepmother is an Alien,25.55 million
Dan Aykroyd,The Great Outdoors,80.13 million
Dan Aykroyd,The Couch Trip,43.96 million
Dan Aykroyd,Dragnet,127.95 million
Jessica Lange,The Postman Always Rings Twice,43.96 million
Jessica Lange,Tootsie,400.41 million
Jessica Lange,Music Box,43.96 million
Leonard Nimoy,Star Trek III: The Search for Spock,182.62 million
Leonard Nimoy,Star Trek II: The Wrath of Khan,218.73 million
Leonard Nimoy,Star Trek V: The Final Frontier,123.48 million
Leonard Nimoy,Star Trek IV: The Voyage Home,264.59 million
Leonard Nimoy,The Transformers: The Movie,11.35 million
Danny DeVito,The Jewel of the Nile,196.18 million
Danny DeVito,Romancing the Stone,181.72 million
Danny DeVito,Terms of Endearment,43.96 million
Danny DeVito,The War of the Roses,43.96 million
Danny DeVito,Twins,399.41 million
Danny DeVito,Throw Momma from the Train,111.15 million
Danny DeVito,Ruthless People,142.49 million
